point,ACWO,AMCO,AMCR,AMGO,AMKE,AMRO,ANHU,ATFL,BARS,BEWR,BHCO,BHGR,BLGR,BLPH,BRBL,BUOR,BUSH,CAKI,CALT,CAQU,CASJ,CATH,CBCH,CLSW,COYE,DCCO,DEJU,EUCD,EUST,GBHE,GTGR,HAWO,HOFI,HOOR,HOWR,KILL,LAGO,LASP,LAZB,LEGO,MALL,MODO,NOFL,NOMO,NUWO,OATI,ROPI,RSHA,RTHA,RWBL,SAPH,SOSP,SPTO,STJA,TRES,TUVU,VGSW,WBNU,WCSP,WEBL,WEFL,WEKI,WEME,WETA,WEWP,WIWA,WREN,YEWA
21,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0
22,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,10,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,0,1,1,0,0,0,1,1,1
23,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0
24,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,15,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
26,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,5,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,1,9,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,3,3,0,0,1,0,0,0,1,0,0,0
28,2,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,1,1,2,3,0,0,0,2,0,3,0,0,0,0,0,7,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
29,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0
30,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0
